startdate,enddate,wfo,far,pod,far_pct,pod_pct,lgt,mod,hvy,lgt_pct,mod_pct,hvy_pct
2021-03-01 08:00:00,2021-03-01 15:35:00,apx,4,55,6.78,93.22,15,4,6,60.0,16.0,24.0
2021-02-19 15:00:00,2021-02-20 13:47:00,apx,98,234,29.518,70.482,68,0,0,100.0,0.0,0.0
2021-02-13 08:33:00,2021-02-14 11:00:00,apx,95,397,19.309,80.691,78,2,0,97.5,2.5,0.0
2021-02-12 05:00:00,2021-02-12 20:33:00,apx,67,163,29.13,70.87,39,7,0,84.783,15.217,0.0
2021-02-08 14:47:00,2021-02-09 10:28:00,apx,50,186,21.186,78.814,57,2,0,96.61,3.39,0.0
2021-02-05 18:59:00,2021-02-07 08:43:00,apx,166,809,17.026,82.974,113,0,0,100.0,0.0,0.0
2021-02-12 09:00:00,2021-02-13 21:01:00,mqt,97,164,37.165,62.835,81,20,7,75.0,18.519,6.481
2021-02-07 07:00:00,2021-02-11 12:00:00,mqt,413,190,68.491,31.509,303,0,0,100.0,0.0,0.0
1/21/2021 16:00,1/23/2021 5:00,apx,245,485,33.562,66.438,74,22,9,70.476,20.952,8.571
1/19/2021 3:00,1/20/2021 20:47,apx,506,609,45.381,54.619,159,1,0,99.375,0.625,0.0
1/21/2021 16:00,1/23/2021 0:00,apx,173,425,28.93,71.07,68,22,9,68.687,22.222,9.091
1/24/2021 12:00,1/24/2021 21:00,mqt,0,54,0.0,100.0,26,1,0,96.296,3.704,0.0
1/23/2021 0:00,1/23/2021 19:07,mqt,109,76,58.919,41.081,57,0,0,100.0,0.0,0.0
12/29/2020 2:49,12/29/2020 5:43,apx,4,31,11.429,88.571,17,5,0,77.273,22.727,0.0
12/23/2020 22:00,12/25/2020 6:00,mqt,74,217,25.43,74.57,106,48,7,65.839,29.814,4.348
12/28/2020 12:00,12/29/2020 0:00,mqt,63,65,49.219,50.781,34,1,1,94.444,2.778,2.778
11/1/2020 6:00,11/1/2020 18:00,mqt,85,102,45.455,54.545,26,10,0,72.222,27.778,0.0
10/25/2020 8:10,10/26/2020 10:00,mqt,6,43,12.245,87.755,45,4,0,91.837,8.163,0.0
