startdate,enddate,wfo,far,pod,far_pct,pod_pct,lgt,mod,hvy,lgt_pct,mod_pct,hvy_pct
1/18/2020 3:00,1/18/2020 16:05,mqt,27,23,54,46,41,7,2,82,14,4
1/19/2020 9:59,1/20/2020 15:02,mqt,17,88,16.19,83.81,105,0,0,100,0,0
1/19/2020 5:02,1/20/2020 1:45,iwx,5,62,7.463,92.537,44,22,1,65.672,32.836,1.493
1/19/2020 21:00,1/20/2020 5:24,iwx,16,34,32,68,50,0,0,100,0,0
11/11/2019 8:00,11/12/2019 0:00,grr,20,230,8,92,110,70,70,44.186,27.907,27.907
11/12/2019 2:23,11/12/2019 22:00,grr,7,120,5.512,94.488,103,24,0,80.769,19.231,0
11/11/2019 8:00,11/12/2019 22:00,grr,48,106,31.169,68.831,142,11,1,92.208,7.143,0.649
11/7/2019 21:02,11/8/2019 0:47,mqt,0,15,0,100,13,1,1,86.667,6.667,6.667
11/7/2019 15:08,11/8/2019 0:47,mqt,9,1,90,10,10,0,0,100,0,0
11/8/2019 11:31,11/8/2019 14:41,apx,27,29,48.214,51.786,52,4,0,92.308,7.692,0
11/7/2019 11:00,11/8/2019 11:31,apx,372,192,65.957,34.043,513,53,0,90.968,9.032,0
11/7/2019 11:00,11/8/2019 9:57,apx,155,235,39.744,60.256,349,41,0,89.412,10.588,0
11/6/2019 14:00,11/6/2019 22:59,mqt,9,65,12.162,87.838,47,27,0,63.158,36.842,0
11/11/2019 10:00,11/12/2019 17:03,iwx,125,605,17.123,82.877,599,124,7,82.086,17.687,0.227
12/11/2019 15:00,12/12/2019 3:00,apx,18,40,31.034,68.966,12,0,0,100,0,0
12/11/2019 15:17,12/11/2019 23:57,apx,1,28,3.448,96.552,7,8,14,24.138,27.586,48.276
12/11/2019 2:06,12/11/2019 23:57,apx,7,75,8.537,91.463,78,4,0,95.122,4.878,0
12/11/2019 0:19,12/11/2019 23:57,apx,12,85,12.371,87.629,81,7,9,83.505,7.216,9.278
12/9/2019 21:20,12/11/2019 2:06,apx,49,65,42.982,57.018,113,1,0,99.123,0.877,0
12/9/2019 21:20,12/11/2019 2:06,apx,68,137,33.171,66.829,84,5,0,94.382,5.618,0
12/9/2019 23:00,12/10/2019 7:26,apx,26,44,37.143,62.857,32,0,0,100,0,0
12/9/2019 23:00,12/10/2019 21:00,apx,45,107,29.605,70.395,79,13,0,85.87,14.13,0
12/31/2019 6:49,1/1/2020 2:05,apx,50,187,21.097,78.903,71,10,1,86.585,12.195,1.22
12/17/2019 21:00,12/18/2019 20:10,apx,4,39,9.302,90.698,43,0,0,100,0,0
12/17/2019 21:00,12/18/2019 20:10,apx,59,30,66.292,33.708,89,0,0,100,0,0
12/17/2019 21:00,12/18/2019 20:10,apx,20,132,13.158,86.842,142,10,0,93.421,6.579,0
12/17/2019 21:00,12/18/2019 20:10,apx,4,39,9.302,90.698,43,0,0,100,0,0
12/17/2019 21:00,12/18/2019 20:10,apx,48,45,51.613,48.387,91,2,0,97.849,2.151,0
12/17/2019 21:00,12/18/2019 20:10,apx,23,61,27.381,72.619,73,10,1,86.905,11.905,1.19
12/17/2019 18:00,12/18/2019 16:44,apx,28,119,19.048,80.952,59,4,4,88.06,5.97,5.97
12/17/2019 21:00,12/18/2019 16:44,apx,107,137,43.852,56.148,34,0,0,100,0,0
