startdate,enddate,wfo,far,pod,far_pct,pod_pct,lgt,mod,hvy,lgt_pct,mod_pct,hvy_pct
11/21/2021 22:00,11/23/2021 2:10,apx,35,312,10.086,89.914,98,27,12,71.533,19.708,8.759
11/18/2021 18:00,11/19/2021 12:00,apx,71,203,25.912,74.088,48,5,0,90.566,9.434,0
11/3/2021 0:00,11/3/2021 15:00,mqt,33,12,73.333,26.667,45,0,0,100,0,0
11/14/2021 20:00,11/15/2021 15:00,mqt,100,33,75.188,24.812,20,0,0,100,0,0
11/18/2021 0:00,11/19/2021 12:00,mqt,227,115,66.374,33.626,85,4,0,95.506,4.494,0
11/21/2021 21:00,11/22/2021 18:00,mqt,14,45,23.729,76.271,55,4,0,93.22,6.78,0
11/28/2021 5:00,11/28/2021 21:00,mqt,17,29,36.957,63.043,45,1,0,97.826,2.174,0
11/18/2021 0:00,11/19/2021 12:00,mqt,190,115,62.295,37.705,108,0,0,100,0,0
12/8/2021 0:00,12/8/2021 17:00,grr,91,90,50.276,49.724,51,0,0,100,0,0
12/4/2021 20:48,12/6/2021 6:00,apx,791,633,55.548,44.452,82,8,0,91.111,8.889,0
12/5/2021 10:00,12/7/2021 0:00,mqt,281,551,33.774,66.226,102,11,1,89.474,9.649,0.877
12/6/2021 6:00,12/7/2021 12:00,mqt,131,165,44.257,55.743,83,6,1,92.222,6.667,1.111
1/9/2022 9:00,1/11/2022 0:00,mqt,52,65,44.444,55.556,104,13,0,88.889,11.111,0
1/24/2022 12:00,1/26/2022 7:40,mqt,72,59,54.962,45.038,126,5,0,96.183,3.817,0
1/19/2022 18:00,1/20/2022 16:08,apx,159,221,41.842,58.158,66,0,0,100,0,0
1/9/2022 15:56,1/11/2022 2:51,apx,591,324,64.59,35.41,175,7,3,94.595,3.784,1.622
1/19/2022 18:00,1/20/2022 20:50,grr,152,196,43.678,56.322,80,0,0,100,0,0
1/6/2022 21:00,1/7/2022 21:00,iwx,31,118,20.805,79.195,72,0,0,100,0,0
1/19/2022 23:00,1/20/2022 23:00,iwx,36,198,15.385,84.615,67,5,0,93.056,6.944,0
2/12/2022 0:00,2/13/2022 1:00,iwx,135,192,41.284,58.716,13,0,0,100,0,0
3/27/2022 14:47,3/28/2022 4:00,mqt,32,22,59.259,40.741,38,2,0,95,5,0
